2025-09-23 23:45:05,375 | INFO | hids-scanner | {"type": "activity", "activity_type": "file_unchanged", "item_id": 5, "timestamp": "2025-09-23T23:45:05.375362", "path": "/etc/hosts"}
2025-09-23 23:45:05,376 | INFO | apscheduler.executors.default | Job "scan_file (trigger: interval[0:01:00], next run at: 2025-09-23 23:46:05 UTC)" executed successfully
2025-09-23 23:45:28,259 | INFO | apscheduler.executors.default | Running job "scan_ip (trigger: interval[0:01:00], next run at: 2025-09-23 23:46:28 UTC)" (scheduled at 2025-09-23 23:45:28.116885+00:00)
2025-09-23 23:45:28,261 | WARNING | hids-scanner | {"type": "alert", "alert_type": "ip_scan_error", "item_id": 4, "timestamp": "2025-09-23T23:45:28.261216", "ip": "10.0.0.1", "error": "name 'MonitoredIP' is not defined"}
2025-09-23 23:45:28,262 | INFO | apscheduler.executors.default | Job "scan_ip (trigger: interval[0:01:00], next run at: 2025-09-23 23:46:28 UTC)" executed successfully
2025-09-23 23:45:28,281 | INFO | apscheduler.executors.default | Running job "scan_ip (trigger: interval[0:01:00], next run at: 2025-09-23 23:46:28 UTC)" (scheduled at 2025-09-23 23:45:28.148276+00:00)
2025-09-23 23:45:28,282 | WARNING | hids-scanner | {"type": "alert", "alert_type": "ip_scan_error", "item_id": 5, "timestamp": "2025-09-23T23:45:28.282737", "ip": "10.0.0.2", "error": "name 'MonitoredIP' is not defined"}
2025-09-23 23:45:28,284 | INFO | apscheduler.executors.default | Job "scan_ip (trigger: interval[0:01:00], next run at: 2025-09-23 23:46:28 UTC)" executed successfully
2025-09-23 23:46:05,282 | INFO | apscheduler.executors.default | Running job "scan_file (trigger: interval[0:01:00], next run at: 2025-09-23 23:47:05 UTC)" (scheduled at 2025-09-23 23:46:05.183867+00:00)
2025-09-23 23:46:05,315 | WARNING | hids-scanner | {"type": "alert", "alert_type": "file_not_found", "item_id": 3, "timestamp": "2025-09-23T23:46:05.315648", "path": "/tmp/foo/test"}
2025-09-23 23:46:05,327 | INFO | apscheduler.executors.default | Running job "scan_file (trigger: interval[0:01:00], next run at: 2025-09-23 23:47:05 UTC)" (scheduled at 2025-09-23 23:46:05.209414+00:00)
2025-09-23 23:46:05,335 | INFO | apscheduler.executors.default | Job "scan_file (trigger: interval[0:01:00], next run at: 2025-09-23 23:47:05 UTC)" executed successfully
2025-09-23 23:46:05,340 | WARNING | hids-scanner | {"type": "alert", "alert_type": "file_not_found", "item_id": 4, "timestamp": "2025-09-23T23:46:05.340545", "path": "/tmp/a"}
2025-09-23 23:46:05,345 | INFO | apscheduler.executors.default | Running job "scan_file (trigger: interval[0:01:00], next run at: 2025-09-23 23:47:05 UTC)" (scheduled at 2025-09-23 23:46:05.235611+00:00)
2025-09-23 23:46:05,358 | INFO | apscheduler.executors.default | Job "scan_file (trigger: interval[0:01:00], next run at: 2025-09-23 23:47:05 UTC)" executed successfully
2025-09-23 23:46:05,379 | INFO | hids-scanner | {"type": "activity", "activity_type": "file_unchanged", "item_id": 5, "timestamp": "2025-09-23T23:46:05.379785", "path": "/etc/hosts"}
2025-09-23 23:46:05,380 | INFO | apscheduler.executors.default | Job "scan_file (trigger: interval[0:01:00], next run at: 2025-09-23 23:47:05 UTC)" executed successfully
2025-09-23 23:46:28,230 | INFO | apscheduler.executors.default | Running job "scan_ip (trigger: interval[0:01:00], next run at: 2025-09-23 23:47:28 UTC)" (scheduled at 2025-09-23 23:46:28.116885+00:00)
